Generation,BestFitness,MedianFitness,AvgFitness
388,0.002390,0.497495,14840012382.378344
389,0.002390,0.499736,8120005941.134796
390,0.002390,0.497074,10420006283.329111
391,0.002390,0.497074,11840005713.081385
392,0.002390,0.499736,5980005123.312407
393,0.002390,0.497074,13260005923.620293
394,0.002390,0.497285,14160008767.291485
395,0.002390,0.507525,11040006054.605038
396,0.002390,0.499736,11820006262.433002
397,0.002390,0.498103,12840008582.557470
398,0.002390,0.499736,8220006384.167458
399,0.002390,0.499736,8900007137.551456
400,0.002390,0.499736,7940006571.995337
401,0.002390,0.497074,7700004376.532141
402,0.002390,0.499736,12580011675.986172
403,0.002390,0.509848,7600005305.287008
404,0.002390,0.499736,11760006213.047380
405,0.002390,0.499736,9860007233.438742
406,0.002390,0.503396,9220003176.996412
407,0.002390,0.499736,12740004718.193989
408,0.002390,0.509847,9580004793.094212
409,0.002390,0.504351,9200006406.145586
410,0.002390,0.505121,12540012764.557682
411,0.002390,0.504350,15520008041.352827
412,0.002390,0.501338,9940007123.999388
413,0.002390,0.497074,10320006111.563217
414,0.002390,0.500124,9540010400.363506
415,0.002390,0.499736,7140004306.653514
416,0.002390,0.505434,9700006855.759651
417,0.002390,0.543778,14100006091.465349
418,0.002390,0.509847,12240008490.569639
419,0.002390,0.504526,13000006007.092449
420,0.002390,0.505890,11320005491.788658
421,0.002390,0.509849,12580007253.390284
422,0.002390,0.499736,14200009252.049828
423,0.002390,0.505042,7060002748.024988
424,0.002390,0.510975,12180009125.625628
425,0.002390,0.530584,14260006572.381445
426,0.002390,0.543700,11620010634.665438
427,0.002390,0.510688,13980009775.120451
428,0.002390,0.559733,10160005258.820564
429,0.002390,0.543050,11420008258.477064
430,0.002390,0.530429,10860008617.005537
431,0.002390,0.543688,13280008439.237991
432,0.002390,0.547203,10880006162.444777
433,0.002390,0.529409,13640008648.127598
434,0.002390,0.525523,11060007017.016029
435,0.002390,0.566938,10840008755.732315
436,0.002390,0.530507,11900007287.986950
437,0.002390,0.557624,13840013074.067808
438,0.002390,0.509850,12060006719.022675
439,0.002390,0.525738,10580008515.915260
440,0.002390,0.511824,12400007757.346750
441,0.002390,0.557663,8540007894.974854
442,0.002390,0.543778,10020009068.157146
443,0.002390,0.590860,11500006138.347544
444,0.002390,0.543778,12800004918.535328
445,0.002390,0.587300,16540010608.979177
446,0.002390,0.520328,13720008026.170740
447,0.002390,0.519519,11120004537.948683
448,0.002390,0.637873,14660012322.048203
449,0.002390,0.542206,10180007518.000427
450,0.002390,0.540750,3860004972.323215
451,0.002390,0.520331,7500006645.345703
452,0.002390,0.543778,10480007953.415590
453,0.002390,0.523149,10240006963.845388
454,0.002390,0.561354,9380004434.908852
455,0.002390,0.577773,11480009125.158205
456,0.002390,0.541218,12140010017.828259
457,0.002390,0.589485,12680009299.785694
458,0.002390,0.574833,10040008108.152260
459,0.002390,0.566938,16020015681.688494
460,0.002390,0.553146,12340012722.174038
461,0.002390,0.566938,11700009097.140026
462,0.002390,0.587948,10960005215.456562
463,0.002390,0.649101,17180017306.042137
464,0.002390,0.566809,10800007694.862848
465,0.002390,0.566938,10560010654.632660
466,0.002390,0.570043,13560009332.299007
467,0.002390,0.567085,6880006037.929158
468,0.002390,0.541218,9200005028.916029
469,0.002390,0.558393,11380006738.361996
470,0.002390,0.570669,11560008440.513275
471,0.002390,0.543194,9020006379.572783
472,0.002390,0.566645,11600007518.940556
473,0.002390,0.586819,19820012874.977528
474,0.002390,0.566044,9580009944.286692
475,0.002390,0.530954,9720007412.618708
476,0.002390,0.543791,6800007484.870671
477,0.002390,0.590511,14740009140.202652
478,0.002390,0.564299,12380007353.234285
479,0.002390,0.586477,19380014678.878532
480,0.002390,0.543778,10040007168.382923
481,0.002390,0.678360,16440012245.330055
482,0.002390,0.609083,13780011589.882471
483,0.002390,0.520328,10940009775.954575
484,0.002390,0.591525,12380007519.466482
485,0.002390,0.543778,11540011444.326881
486,0.002390,0.543377,9520006463.997458
487,0.002390,0.584466,7500005511.719852
488,0.002390,0.577468,10040005082.545084
489,0.002390,0.611316,12360007413.985266
490,0.002390,0.546458,8640008708.272238
491,0.002390,0.543599,12340010236.820766
492,0.002390,0.576171,9940008027.143263
493,0.002390,0.651243,12780009356.454775
494,0.002390,0.664542,14680008481.313932
495,0.002390,0.552363,12600006847.203506
496,0.002390,0.541218,10740006863.621908
497,0.002390,0.643628,15420009760.980186
498,0.002390,0.512539,12840011905.332407
499,0.002390,0.530429,10300009178.965847
500,0.002390,0.530429,9520010044.348938
